epoch,acc,loss,val_acc,val_loss
0,0.975401520498,0.109957678358,0.979323248709,0.0908570122263
1,0.978708364446,0.082209053334,0.981509624844,0.069703375825
2,0.980297051962,0.0711222908112,0.982173906076,0.0633485067142
3,0.982384688896,0.0588218251038,0.983773063018,0.0536631895151
4,0.981194771668,0.0567637440635,0.984844753178,0.0489797000478
5,0.984151650788,0.046186127429,0.98581189964,0.0447339771166
6,0.985818020318,0.0401091164479,0.986245594856,0.043234283129
7,0.986732273074,0.0371097186001,0.987397928178,0.0400192499018
8,0.987201950183,0.0353415016367,0.985258140159,0.047057515008
9,0.985288792309,0.0419964922631,0.983559217077,0.0518811022331
10,0.9866772984,0.0373755496341,0.987162565387,0.0421790862623
11,0.987933153585,0.032970198827,0.98766972956,0.0408833394697
12,0.987993503024,0.0335146419021,0.987427789393,0.0425284477251
13,0.988077957457,0.0327951390437,0.987694224505,0.0427099265372
14,0.988149466748,0.0325243074809,0.988016806694,0.0408976724552
